city,median_price,mean_price,occupancy_rate,median_annual_revenue,total_reviews,listing_count,zillow_home_price,gross_yield,yield_rank,occ_rank,sat_rank,investment_score
Cambridge,210.0,237.69825436408976,0.636,37258.0,487.21,401,1019841,0.0365,0.3888888888888889,0.9629629629629629,0.8888888888888888,0.747
Rhode Island,250.0,329.71166032953107,0.567,44120.0,4429.63,3156,503947,0.0875,0.9629629629629629,0.7222222222222222,0.5185185185185186,0.735
Columbus,115.0,144.6678445229682,0.507,17090.5,4577.58,1698,243005,0.0703,0.8888888888888888,0.46296296296296297,0.7407407407407407,0.698
Washington DC,148.0,192.3649505452701,0.6,28558.0,7520.41,3943,574016,0.0498,0.7037037037037037,0.9259259259259259,0.37037037037037035,0.667
New Orleans,174.0,237.79199255121043,0.567,30967.0,10416.72,5370,239751,0.1292,1.0,0.7222222222222222,0.2592592592592593,0.66
Oakland,130.0,167.4970798182998,0.575,25550.0,2421.5,1541,700829,0.0365,0.3888888888888889,0.7777777777777778,0.7777777777777778,0.648
Austin,199.0,283.84917202826705,0.597,36574.0,16006.71,9481,500627,0.0731,0.9259259259259259,0.8888888888888888,0.11111111111111116,0.642
Denver,130.0,171.05680600214362,0.589,25386.0,7556.34,3732,530920,0.0478,0.6666666666666666,0.8518518518518519,0.40740740740740744,0.642
Santa Cruz County,274.0,329.58931419457736,0.537,41610.5,2587.97,1254,1313461,0.0317,0.2962962962962963,0.5925925925925926,0.8148148148148149,0.568
New York City,163.0,208.35303094085455,0.753,36500.0,22932.3,19004,812534,0.0449,0.5925925925925926,1.0,0.03703703703703709,0.543
